movieId	title	ratingsCount	averageRating
50	Usual Suspects, The (1995)	201	4.370646766169155
318	Shawshank Redemption, The (1994)	311	4.487138263665595
527	Schindler's List (1993)	244	4.30327868852459
858	Godfather, The (1972)	200	4.4875
904	Rear Window (1954)	92	4.315217391304348
913	Maltese Falcon, The (1941)	62	4.387096774193548
1203	12 Angry Men (1957)	74	4.304054054054054
1221	Godfather: Part II, The (1974)	135	4.385185185185185
1252	Chinatown (1974)	76	4.3355263157894735
6016	City of God (Cidade de Deus) (2002)	69	4.297101449275362
